TRI Facility Name,TRI Facility ID,Year,Census Tract,3-Mile Population,Under Age 5 Percentile,Over Age 64 Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,ZIP Code,Street Address,City,County,Latitude,Longitude,Chemical,Industry Sector,NAICS Code,Parent Company,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
HAVILAND PRODUCTS CO,4900WHVLND2722N,2024,26077001501,"51,830",14,53,92,0,48,49004,2722 N BURDICK ST,"KALAMAZOO, MI","KALAMAZOO, MI",42.31853039,-85.58384814,Methanol (67-56-1),4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,HAVILAND ENTERPRISES INC,101.04,101.00,0.00,0.00,0.04,"1,016.50",18,0
MPLX TERMINALS LLC - NILES MI TERMINAL,49120MRTHN2216S,2024,26021021100,"20,662",80,89,49,0,47,49120,2216 S 3RD ST,"NILES, MI","BERRIEN, MI",41.78687345,-86.25481823,Ethylbenzene (100-41-4),4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,101.00,96.00,0.00,0.00,5.00,101.00,"89,890",0
ELECTROLUX PROFESSIONAL GROUP - WEIDMAN,48893RNDLL0520S,2024,26073000200,"3,684",34,94,46,0,22,48893,525 S COLDWATER RD,"WEIDMAN, MI","ISABELLA, MI",43.6328959,-84.98775118,Chromium (7440-47-3),333 Machinery,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration..,DOVER CORP,99.00,99.00,0.00,0.00,0.00,"89,669.00","190,080,000",0
GAGE PRODUCTS CO,48220GGPRD625WA,2024,26125173600,"148,304",15,29,26,0,39,48220,625 WANDA ST,"FERNDALE, MI","OAKLAND, MI",42.45155981,-83.11350414,Naphthalene (91-20-3),325 Chemicals,325510 Paint and Coating Manufacturing,NA,99.00,99.00,0.00,0.00,0.00,"11,555.00","1,188,000",0
US ECOLOGY MICHIGAN INC.,48211DYNCL6520G,2024,26163505800,"127,120",51,65,99,76,88,48211,6520 GEORGIA ST,"DETROIT, MI","WAYNE, MI",42.39346348,-83.03317638,Nitric acid (7697-37-2),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,99.00,99.00,0.00,0.00,0.00,"143,029.00","26,730",0
EMERALD STEEL PROCESSING LLC - MADISON HEIGHTS FACILITY,48071STLPR31624,2024,26125181100,"116,262",0,0,0,0,0,48071,31624 STEPHENSON HWY,"MADISON HEIGHTS, MI","OAKLAND, MI",42.52497904,-83.11951882,Nickel (7440-02-0),332 Fabricated Metals,332811 Metal Heat Treating,NA,98.02,0.00,0.00,0.00,98.02,98.02,"89,949,718",0
ANDERSON DEVELOPMENT CO,49221NDRSN1415E,2024,26091061301,"26,525",93,24,86,0,82,49221,1415 E MICHIGAN ST,"ADRIAN, MI","LENAWEE, MI",41.89404029,-84.01757843,Xylene (mixed isomers) (1330-20-7),325 Chemicals,325211 Plastics Material and Resin Manufacturing,MITSUI & CO (USA) INC,97.12,95.00,2.12,0.00,0.00,"307,769.62","3,336",0
ASH STEVENS,48192SHSTV18655,2024,26163595000,"66,877",17,84,75,0,83,48193,18655 KRAUSE ST,"RIVERVIEW, MI","WAYNE, MI",42.17241218,-83.17408992,Methyl tert-butyl ether (1634-04-4),325 Chemicals,325412 Pharmaceutical Preparation Manufacturing,PEL PHARMA INC,97.00,97.00,0.00,0.00,0.00,"99,097.00","9,021",0
GM TRUCK GROUP FLINT ASSEMBLY PLANT,48551GMCTRG3100,2024,26049980000,"51,226",0,0,0,0,0,48551,G-3100 VAN SLYKE RD,"FLINT, MI","GENESEE, MI",42.96697513,-83.71257194,n-Hexane (110-54-3),336 Transportation Equipment,336370 Motor Vehicle Metal Stamping,GENERAL MOTORS LLC,97.00,97.00,0.00,0.00,0.00,97.00,485,0
ROYAL BUILDING PRODUCTS,4845WMTMRP457SA,2024,26087341500,"3,753",66,28,41,0,36,48455,4057 S OAK ST,"METAMORA, MI","LAPEER, MI",42.94066997,-83.28939183,Copper (7440-50-8),326 Plastics and Rubber,326199 All Other Plastics Product Manufacturing,WESTLAKE CORP,95.31,95.31,0.00,0.00,0.00,"1,450.89","142,965",0
FCA US TRENTON ENGINE COMPLEX,48183CHRYS2000V,2024,26163982301,"44,999",0,0,0,0,0,48183,2300 VAN HORN,"TRENTON, MI","WAYNE, MI",42.12686501,-83.19409761,Copper (7440-50-8),336 Transportation Equipment,336310 Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,FCA US LLC,95.30,0.00,0.00,0.00,95.30,"65,895.22","142,950",0
TOWER AUTOMOTIVE CLINTON,48036TWRTM44850,2024,26099240000,"60,171",65,49,76,0,66,48036,44850 GROESBECK HWY,"CLINTON TOWNSHIP, MI","MACOMB, MI",42.62761425,-82.87619874,Manganese (7439-96-5),336 Transportation Equipment,336370 Motor Vehicle Metal Stamping,AUTOKINITON US HOLDINGS INC,95.00,91.00,0.00,0.00,4.00,"283,791.00","1,140,000",1
MEC INC.,4934WMCNCX4714C,2024,-,-,-,-,-,-,-,49348,4714 CIRCUIT CT,"WAYLAND, MI","ALLEGAN, MI",42.76551939,-85.65649297,Chromium (7440-47-3),332 Fabricated Metals,332999 All Other Miscellaneous Fabricated Metal Product Manufacturing,MAYVILLE ENGINEERING CO INC,92.00,33.00,0.00,0.00,59.00,"24,517.00","2,001,920,000",0
VALLEY CITY PLATING,49508VLLYC3353E,2024,26081014200,"119,520",56,19,59,72,55,49508,3353 EASTERN AVE SE,"GRAND RAPIDS, MI","KENT, MI",42.9026011,-85.6466332,Nickel compounds (N495),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",NA,92.00,2.00,0.00,0.00,90.00,"1,825.00","31,625,278",0
WEBB CHEMICAL SERVICE CORP,49444WBBCH2708J,2024,26121004300,"60,581",56,21,98,0,61,49444,2708 JARMAN,"MUSKEGON HEIGHTS, MI","MUSKEGON, MI",43.20207671,-86.23092135,Certain glycol ethers (N230),4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,NA,91.52,86.00,0.00,0.00,5.52,155.00,"16,584",0
RICHARD-ALLAN SCIENTIFIC,49008RCHRD4481C,2024,26077001604,"63,148",46,76,56,71,11,49008,4481 CAMPUS DR,"KALAMAZOO, MI","KALAMAZOO, MI",42.25668735,-85.63865076,Ethylbenzene (100-41-4),325 Chemicals,325413 In-Vitro Diagnostic Substance Manufacturing,NEW ERIE,90.33,90.33,0.00,0.00,0.00,"23,500.33","80,394",0
CALUMET ELECTRONICS CORP,49913CLMTL25830,2024,26061000300,"6,880",67,86,87,58,32,49913,25830 DEPOT ST,"CALUMET, MI","HOUGHTON, MI",47.24014029,-88.44912896,Silver compounds (N740),334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,90.30,0.00,0.00,0.00,90.30,91.30,"18,060",0
FEDERAL-MOGUL CORP,48838FDRLM510EG,2024,26117971300,"11,538",20,50,47,89,98,48838,510 E GROVE ST,"GREENVILLE, MI","MONTCALM, MI",43.18081714,-85.24673526,Lead compounds (N420),336 Transportation Equipment,336310 Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,TENNECO INC,90.30,65.00,3.90,0.00,21.40,"35,126.30","1,952,285",0
POLYCHEMIE INC,48184XCHMN38070,2024,26163566700,"54,462",14,15,80,62,67,48184,38070 VAN BORN RD,"WAYNE, MI","WAYNE, MI",42.26614028,-83.41350379,Formaldehyde (50-00-0),325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,SNF HOLDING CO,90.00,90.00,0.00,0.00,0.00,"1,150.00","3,510,000",0
PRATT & WHITNEY,4884WPRTTW1781H,2024,26065005502,"22,923",73,39,86,0,53,48842,1781 HOLLOWAY DR,"HOLT, MI","INGHAM, MI",42.63212652,-84.48775591,Ethylbenzene (100-41-4),336 Transportation Equipment,336412 Aircraft Engine and Engine Parts Manufacturing,RTX CORP,88.42,88.42,0.00,0.00,0.00,"10,058.63","78,694",0
THE SHYFT GROUP INC,4881WTHSHY1REYN,2024,26045020902,"10,310",56,75,38,0,35,48813,1000 REYNOLDS RD,"CHARLOTTE, MI","EATON, MI",42.54979247,-84.85297007,Xylene (mixed isomers) (1330-20-7),336 Transportation Equipment,336211 Motor Vehicle Body Manufacturing,THE SHYFT GROUP USA INC,84.27,84.27,0.00,0.00,0.00,84.27,"2,949",0
EAGLE MINE,4986WRTNTG651TR,2024,26103002902,1,21,94,27,0,14,49861,6510 TRIPLE A ROAD,"MICHIGAMME, MI","MARQUETTE, MI",46.75585598,-87.91306037,Mercury compounds (N458),2122 Metal Mining,"212230 Copper, Nickel, Lead, and Zinc Mining",EAGLE MINE LLC,84.04,0.00,0.00,84.00,0.04,84.04,"840,508",0
MPLX TERMINALS LLC - BAY CITY MI TERMINAL,48706BYCTY1806M,2024,26017285900,"44,145",62,94,90,0,62,48706,1806 MARQUETTE ST,"BAY CITY, MI","BAY, MI",43.61888918,-83.86460666,Ethylbenzene (100-41-4),4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,84.00,82.00,0.00,0.00,2.00,405.00,"74,760",0
VENTRA EVART LLC,49631VRTPR601WS,2024,26133970400,"3,127",51,75,84,0,91,49631,601 W SEVENTH ST,"EVART, MI","OSCEOLA, MI",43.90066423,-85.26622672,Toluene (108-88-3),336 Transportation Equipment,336390 Other Motor Vehicle Parts Manufacturing,FLEX-N-GATE CORP,83.66,83.66,0.00,0.00,0.00,"7,851.66",59,0
STRUCTURAL CONCEPTS - PLANT 2,4944WSTRCT5566G,2024,26121002602,-,59,82,51,0,29,49441,5566 GRAND HAVEN RD,"MUSKEGON, MI","MUSKEGON, MI",43.1512422,-86.22049738,Chromium compounds (N090),333 Machinery,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration..,SC HOLDING CORP,81.44,81.44,0.00,0.00,0.00,"33,159.44","156,364,800",0
DTE ELECTRIC CO - MONROE POWER PLANT,48161DTRTD3500E,2024,26115831800,"5,963",0,0,0,0,0,48161,3500 E FRONT ST,"MONROE, MI","MONROE, MI",41.89241917,-83.35195721,Polycyclic aromatic compounds (N590),2211 Electric Utilities,221112 Fossil Fuel Electric Power Generation,DTE ENERGY CO,80.68,6.80,0.00,19.00,54.88,80.68,"27,475,200",0
AXALTA COATING SYSTEMS USA LLC-MOUNT CLEMENS PLANT,48043DPNTM400GR,2024,26099245200,"69,774",78,62,35,0,89,48043,400 GROESBECK HWY,"MOUNT CLEMENS, MI","MACOMB, MI",42.61385915,-82.88881704,Styrene (100-42-5),325 Chemicals,325510 Paint and Coating Manufacturing,AXALTA COATING SYSTEMS LLC,80.00,80.00,0.00,0.00,0.00,"97,280.00",280,0
HEMLOCK SEMICONDUCTOR OPERATIONS LLC,48626HMLCK12334,2024,26145012002,"4,294",28,58,32,0,25,48626,12334 GEDDES RD,"HEMLOCK, MI","SAGINAW, MI",43.43100582,-84.16054841,Nitric acid (7697-37-2),327 Nonmetallic Mineral Product,327992 Ground or Treated Mineral and Earth Manufacturing,CORNING INC,80.00,80.00,0.00,0.00,0.00,"268,906.00","21,600",0
THE DOW CHEMICAL CO,48667THDWCMICHI,2024,26111290600,"25,530",74,14,85,0,68,48667,1790 BUILDING,"MIDLAND, MI","MIDLAND, MI",43.6095201,-84.2393991,"1,3-Butadiene (106-99-0)",325 Chemicals,325211 Plastics Material and Resin Manufacturing,DOW INC,79.00,79.00,0.00,0.00,0.00,"21,099.00","8,690,000",0
TRIBAL MANUFACTURING INC.,49068MRSHL450LE,2024,26025004000,"9,591",70,63,92,0,75,49068,450 LEGGITT RD,"MARSHALL, MI","CALHOUN, MI",42.25284017,-84.96588957,Lead (7439-92-1),332 Fabricated Metals,332721 Precision Turned Product Manufacturing,TRIBAL MANUFACTURING INC,78.09,0.00,0.00,0.00,78.09,"29,865.09","1,795,620",0
THE SHYFT GROUP INC,4881WTHSHY1REYN,2024,26045020902,"10,310",56,75,38,0,35,48813,1000 REYNOLDS RD,"CHARLOTTE, MI","EATON, MI",42.54979247,-84.85297007,Ethylbenzene (100-41-4),336 Transportation Equipment,336211 Motor Vehicle Body Manufacturing,THE SHYFT GROUP USA INC,78.06,78.06,0.00,0.00,0.00,78.06,"69,473",0
TRINSEO LLC-MI OPERATIONS,4866WSTYRN164BU,2024,26111290700,"31,609",34,73,38,77,47,48667,1604 BUILDING,"MIDLAND, MI","MIDLAND, MI",43.6095201,-84.2393991,Acrylic acid (79-10-7),325 Chemicals,325211 Plastics Material and Resin Manufacturing,TRINSEO US HOLDING INC,77.26,77.26,0.00,0.00,0.00,112.68,"270,410",2
EQ DETROIT INC,48211SLCTY1923F,2024,26163519100,"124,295",0,83,90,0,83,48211,1923 FREDERICK ST,"DETROIT, MI","WAYNE, MI",42.36602042,-83.04737998,Sodium nitrite (7632-00-0),999 Other,562998 All Other Miscellaneous Waste Management Services,REPUBLIC SERVICES INC,77.10,5.00,0.00,0.00,72.10,"720,989.99",771,0
PVS NOLWOOD CHEMICALS INC,48228PVSNL9000H,2024,26163535800,"182,394",0,84,97,0,88,48228,9000 HUBBELL AVE,"DETROIT, MI","WAYNE, MI",42.36127986,-83.18726371,Nitric acid (7697-37-2),4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,PVS CHEMICALS INC,76.39,76.39,0.00,0.00,0.00,515.39,"20,625",0
JAYTEC LLC,49423CLNLS620SP,2024,26115830700,"7,297",27,73,90,0,79,48160,620 S PLATT RD,"MILAN, MI","MONROE, MI",42.07244416,-83.69544053,Chromium (7440-47-3),336 Transportation Equipment,336370 Motor Vehicle Metal Stamping,AUTOKINITON US HOLDINGS INC,73.00,20.00,0.00,0.00,53.00,"217,631.00","1,588,480,000",0
THE DELFIELD CO,48858THDLF980SO,2024,26073940300,"20,825",31,81,59,0,43,48858,980 S ISABELLA RD,"MOUNT PLEASANT, MI","ISABELLA, MI",43.62652872,-84.74829505,Manganese (7439-96-5),333 Machinery,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration..,THE DELFIELD CO,72.85,10.00,0.00,0.00,62.85,"223,695.98","874,200",0
GM COMPONENTS HOLDINGS LLC,49501RCHST2100B,2024,26081013400,"94,906",87,19,57,67,47,49509,2100 BURLINGAME AVE SW,"WYOMING, MI","KENT, MI",42.92605814,-85.70565085,Nickel (7440-02-0),336 Transportation Equipment,336310 Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,GENERAL MOTORS LLC,71.79,0.00,0.00,0.00,71.79,"10,072.00","64,170,254",0
ADAC AUTOMOTIVE MUSKEGON PLANT  PORT CITY & KEATING,49442DCPLS2050P,2024,26121000402,"52,782",32,25,94,0,82,49442,2050 PORT CITY BLVD & 1801 KEATING AVE,"MUSKEGON, MI","MUSKEGON, MI",43.21607999,-86.19580598,Methanol (67-56-1),336 Transportation Equipment,336390 Other Motor Vehicle Parts Manufacturing,ADAC PLASTICS INC,71.48,71.48,0.00,0.00,0.00,"126,234.18",13,0
MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV,48217MRTHN1300S,2024,26163524500,"94,854",0,35,0,0,0,48217,1300 S FORT ST HES DEPT,"DETROIT, MI","WAYNE, MI",42.28071629,-83.15192609,Cumene (98-82-8),324 Petroleum Products,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,71.05,71.00,0.00,0.00,0.05,"6,138.24",625,0
FORD VAN DYKE PLANT,48078FRDMT41111,2024,26099230502,"96,031",99,76,0,98,0,48314,41111 VAN DYKE AVE,"STERLING HEIGHTS, MI","MACOMB, MI",42.5985284,-83.03063432,Copper (7440-50-8),336 Transportation Equipment,336350 Motor Vehicle Transmission and Power Train Parts Manufacturing,FORD MOTOR CO,71.00,65.00,0.00,0.00,6.00,"169,071.00","106,500",0
MSP INDUSTRIES,48371MSPND45WAK,2024,26125121000,"5,471",0,46,0,0,11,48371,45 W OAKWOOD RD,"OXFORD, MI","OAKLAND, MI",42.86905546,-83.29053711,Chromium compounds (N090),332 Fabricated Metals,332111 Iron and Steel Forging,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,71.00,3.00,0.00,0.00,68.00,"22,786.00","136,320,000",0
V&S DETROIT GALVANIZING LLC,48239GLVNZ25425,2024,26163554900,"107,639",66,32,51,62,11,48239,12600 ARNOLD ST,"REDFORD, MI","WAYNE, MI",42.37868813,-83.29024964,Lead (7439-92-1),332 Fabricated Metals,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufactur..",VOIGT & SCHWEITZER LLC,70.70,41.50,0.00,0.00,29.20,"1,465.16","1,612,100",0
STRUCTURAL CONCEPTS CORP,4944WSTRCT888EP,2024,26121002602,-,59,82,51,0,29,49441,888 E PORTER RD,"MUSKEGON, MI","MUSKEGON, MI",43.15824552,-86.22347508,Manganese compounds (N450),333 Machinery,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration..,SC HOLDING CORP,70.40,70.40,0.00,0.00,0.00,"5,533.40","844,800",0
PORT CITY DIE CAST,49442BKRTC2121L,2024,26121000402,-,32,25,94,0,82,49442,2121 LATIMER DR,"MUSKEGON, MI","MUSKEGON, MI",43.21407858,-86.19261644,Nickel (7440-02-0),331 Primary Metals,331523 Nonferrous Metal Die-Casting Foundries,PACE INDUSTRIES LLC,69.73,69.73,0.00,0.00,0.00,"3,059.10","64,848,900",0
GERDAU MACSTEEL MONROE,48161NRTHS3000E,2024,26115831800,"23,135",0,0,0,0,0,48161,3000 E FRONT ST,"MONROE, MI","MONROE, MI",41.89706191,-83.36151774,Vanadium compounds (N770),331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,GERDAU USA INC,69.00,43.00,0.00,0.00,26.00,"3,446.00","2,415,000",1
GM TRUCK GROUP FLINT ASSEMBLY PLANT,48551GMCTRG3100,2024,26049980000,"51,226",0,0,0,0,0,48551,G-3100 VAN SLYKE RD,"FLINT, MI","GENESEE, MI",42.96697513,-83.71257194,Ethylene glycol (107-21-1),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,GENERAL MOTORS LLC,69.00,69.00,0.00,0.00,0.00,"4,869.00",607,0
PREMIERE PACKAGING LLC,48507PRMRP6220L,2024,26049012905,"30,646",18,71,66,0,45,48507,6220 LEHMAN DR,"FLINT, MI","GENESEE, MI",42.93868782,-83.71113151,Zinc compounds (N982),325 Chemicals,325612 Polish and Other Sanitation Good Manufacturing,NA,68.71,0.00,0.00,0.00,68.71,68.71,952,1
SYMMETRY MEDICAL INC LANSING,48911JTNGX5212A,2024,26065005304,"59,621",58,5,76,94,79,48911,5212 AURELIUS RD,"LANSING, MI","INGHAM, MI",42.68096935,-84.52359733,Chromium (7440-47-3),332 Fabricated Metals,332112 Nonferrous Forging,TECOMET INC,68.60,48.00,0.00,0.00,20.60,"85,877.60","148,339,560",0
TRIBAR MANUFACTURING LLC PLANT #5,4839WDPTPL48668,2024,26125133102,"32,031",76,23,0,0,0,48393,48668 ALPHA DR,"WIXOM, MI","OAKLAND, MI",42.49931912,-83.53043372,Chromium compounds (N090),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",TRIBAR TECHNOLOGIES INC,68.38,9.00,0.00,0.00,59.38,559.39,"1,674,453,690",0
AIR PRODUCTS & CHEMICALS INC/DETROIT HYDROGEN FACILITY,48217DTRTS1025S,2024,-,"99,709",-,-,-,-,-,48217,1025 OAKWOOD BLVD,"DETROIT, MI","WAYNE, MI",42.28702436,-83.1555223,Ethylene (74-85-1),325 Chemicals,325120 Industrial Gas Manufacturing,AIR PRODUCTS & CHEMICALS INC,68.00,68.00,0.00,0.00,0.00,"1,685,789.60",38,0
LINN PRODUCTS INC,4881WLNNPR12LIP,2024,26045021001,"11,446",85,52,56,0,41,48813,1200 LIPSEY DR,"CHARLOTTE, MI","EATON, MI",42.58472958,-84.83123762,Sulfuric acid (acid aerosols) (7664-93-9),331 Primary Metals,"331318 Other Aluminum Rolling, Drawing, and Extruding",NA,67.78,67.78,0.00,0.00,0.00,67.78,"237,230",0
MICHIGAN METAL COATINGS,48060STVNS2015D,2024,26147620000,"30,088",0,0,0,0,0,48060,2015 DOVE ST,"PORT HURON, MI","ST. CLAIR, MI",42.95192632,-82.44889921,Nickel (7440-02-0),332 Fabricated Metals,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufactur..",MMC SYSTEMS,67.00,7.00,0.00,0.00,60.00,67.00,"62,310,000",0
U.S. EPA NATIONAL VEHICLE & FUEL EMISSIONS LABORATORY,48105SPNTN2565P,2024,26161402601,"56,476",31,2,53,95,0,48105,2565 PLYMOUTH RD,"ANN ARBOR, MI","WASHTENAW, MI",42.30244013,-83.71106093,Xylene (mixed isomers) (1330-20-7),999 Other,923120 Administration of Public Health Programs,US ENVIRONMENTAL PROTECTION AGENCY,66.00,0.00,0.00,0.00,66.00,66.00,"2,310",0
BAKELITE CHEMICALS LLC,49738GRGPCROUTE,2024,26039960500,475,87,73,61,0,82,49738,4113 FOUR MILE RD,"GRAYLING, MI","CRAWFORD, MI",44.59845162,-84.69111322,Formaldehyde (50-00-0),325 Chemicals,325211 Plastics Material and Resin Manufacturing,BAKELITE US HOLDCO INC,65.90,62.00,0.00,0.00,3.90,"62,865.90","2,570,100",0
EMERALD STEEL PROCESSING LLC - MADISON HEIGHTS FACILITY,48071STLPR31624,2024,26125181100,"116,262",0,0,0,0,0,48071,31624 STEPHENSON HWY,"MADISON HEIGHTS, MI","OAKLAND, MI",42.52497904,-83.11951882,Methanol (67-56-1),332 Fabricated Metals,332811 Metal Heat Treating,NA,65.50,65.50,0.00,0.00,0.00,65.50,12,0
MICHIGAN SEAMLESS TUBE LLC,48178QNXMC400MC,2024,26125139202,"24,586",52,82,0,0,24,48178,400 MCMUNN ST,"SOUTH LYON, MI","OAKLAND, MI",42.45817495,-83.65631026,Nickel (7440-02-0),331 Primary Metals,331210 Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,SPECIALTY STEEL WORKS INC,64.39,8.39,56.00,0.00,0.00,"9,386.39","7,807,796",0
FORD MOTOR CO DEARBORN ENGINE PLANT,48121FRDM33001M,2024,26163985700,"123,088",0,0,0,0,0,48120,3001 MILLER RD,"DEARBORN, MI","WAYNE, MI",42.30886967,-83.15678743,Copper (7440-50-8),336 Transportation Equipment,336310 Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,FORD MOTOR CO,64.00,61.00,0.00,0.00,3.00,"19,063.70","96,000",0
MPLX TERMINALS LLC - NORTH MUSKEGON MI TERMINAL,49445NRTHM3005H,2024,26121001500,"24,989",54,38,56,0,37,49445,3005 HOLTON RD,"NORTH MUSKEGON, MI","MUSKEGON, MI",43.27027437,-86.24517486,Ethylbenzene (100-41-4),4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,64.00,64.00,0.00,0.00,0.00,65.00,"56,960",0
ROYAL ADHESIVES & SEALANTS,49254DCPRD4401P,2024,26075006101,"17,114",48,31,93,0,16,49254,4401 PAGE AVE,"MICHIGAN CENTER, MI","JACKSON, MI",42.23436429,-84.33316071,Acrylic acid (79-10-7),325 Chemicals,325520 Adhesive Manufacturing,HB FULLER CO,64.00,64.00,0.00,0.00,0.00,883.00,"224,000",0
SYMMETRY MEDICAL INC LANSING,48911JTNGX5212A,2024,26065005304,"59,621",58,5,76,94,79,48911,5212 AURELIUS RD,"LANSING, MI","INGHAM, MI",42.68096935,-84.52359733,Cobalt (7440-48-4),332 Fabricated Metals,332112 Nonferrous Forging,TECOMET INC,63.46,31.30,0.00,0.00,32.16,"45,878.46","1,772,400,000",0
ASH STEVENS,48192SHSTV18655,2024,26163595000,"66,877",17,84,75,0,83,48193,18655 KRAUSE ST,"RIVERVIEW, MI","WAYNE, MI",42.17241218,-83.17408992,Acetonitrile (75-05-8),325 Chemicals,325412 Pharmaceutical Preparation Manufacturing,PEL PHARMA INC,63.25,63.25,0.00,0.00,0.00,"95,263.25","3,669",0
EDW. C. LEVY CO. - PLANT 1,4820WDWCLV88DIX,2024,26163983600,"126,251",0,0,0,0,0,48209,8800 DIX AVE.,"DETROIT, MI","WAYNE, MI",42.31506918,-83.13674363,Manganese compounds (N450),327 Nonmetallic Mineral Product,327992 Ground or Treated Mineral and Earth Manufacturing,EDW C LEVY CO,63.24,63.24,0.00,0.00,0.00,63.24,"758,876",0
BASF TODA AMERICA INC,4903WTDMRC475WD,2024,26025002600,"13,834",56,21,66,71,74,49037,4750 W DICKMAN RD,"BATTLE CREEK, MI","CALHOUN, MI",42.33678507,-85.27457775,Nickel compounds (N495),325 Chemicals,325180 Other Basic Inorganic Chemical Manufacturing,BASF CORP,63.00,0.00,0.00,0.00,63.00,"6,989.00","58,590,000",0
POLYCHEMIE INC,48184XCHMN38070,2024,26163566700,"54,462",14,15,80,62,67,48184,38070 VAN BORN RD,"WAYNE, MI","WAYNE, MI",42.26614028,-83.41350379,Dimethylamine (124-40-3),325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,SNF HOLDING CO,63.00,63.00,0.00,0.00,0.00,753.00,0,0
BASF CORP,48192BSFCR1609B,2024,26163580100,"83,157",54,24,35,0,37,481923729,1609 BIDDLE AVE,"WYANDOTTE, MI","WAYNE, MI",42.2177185,-83.15027742,Copper compounds (N100),325 Chemicals,325211 Plastics Material and Resin Manufacturing,BASF CORP,62.60,0.20,0.00,0.00,62.40,62.60,"93,900",0
KENT FOUNDRY,48838KNTFN1413C,2024,26117971200,"10,319",17,78,0,0,44,48838,1413 CALLAGHAN ST,"GREENVILLE, MI","MONTCALM, MI",43.18660349,-85.22768736,Manganese (7439-96-5),331 Primary Metals,331511 Iron Foundries,NA,61.30,52.00,0.00,0.00,9.30,"11,755.30","735,600",0
METAL TECHNOLOGIES INC THREE RIVERS GRAY IRON,49093DCKFN4284T,2024,26149040200,"11,553",73,4,70,0,49,49093,429 FOURTH ST,"THREE RIVERS, MI","ST JOSEPH, MI",41.93878276,-85.62982485,Lead (7439-92-1),331 Primary Metals,331511 Iron Foundries,METAL TECHNOLOGIES INC,61.16,0.16,0.00,0.00,61.00,69.16,"1,406,680",0
THE DOW CHEMICAL CO,48667THDWCMICHI,2024,26111290600,"25,530",74,14,85,0,68,48667,1790 BUILDING,"MIDLAND, MI","MIDLAND, MI",43.6095201,-84.2393991,Formaldehyde (50-00-0),325 Chemicals,325211 Plastics Material and Resin Manufacturing,DOW INC,61.00,52.00,9.00,0.00,0.00,"710,061.00","2,028,045",0
STRUCTURAL CONCEPTS CORP,4944WSTRCT888EP,2024,26121002602,-,59,82,51,0,29,49441,888 E PORTER RD,"MUSKEGON, MI","MUSKEGON, MI",43.15824552,-86.22347508,Nickel compounds (N495),333 Machinery,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration..,SC HOLDING CORP,60.34,60.34,0.00,0.00,0.00,"15,781.34","56,116,200",0
LACKS TRIM SYSTEMS-AIRLANE,49508LCKSN4260A,2024,26081012608,"45,423",76,63,33,57,68,49512,4260 AIRLANE SE,"KENTWOOD, MI","KENT, MI",42.88619695,-85.57530451,Chromium compounds (N090),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",LACKS ENTERPRISES INC,60.00,2.00,0.00,0.00,58.00,"1,312.00","950,796,600",0
